Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,5.400417,5.495417,5.348750,5.429583,5.418375,48823200
2017-01-04,5.454583,5.552500,5.447500,5.522083,5.510684,33256800
2017-01-05,5.517500,5.627083,5.512500,5.620000,5.608398,30686400
2017-01-06,5.630417,5.806667,5.587500,5.762500,5.750604,47899200
2017-01-09,5.776667,5.850000,5.765000,5.820833,5.808817,33086400
2017-01-10,5.818333,5.909167,5.787917,5.854167,5.842083,33168000
2017-01-11,5.858333,5.903333,5.772500,5.899167,5.886990,47052000
2017-01-12,5.840833,5.886667,5.710833,5.869167,5.857051,40258800
2017-01-13,5.888333,5.965000,5.886667,5.936667,5.924412,29306400
2017-01-17,5.883333,5.916667,5.830000,5.880833,5.868694,27765600
2017-01-18,5.908333,5.932500,5.860833,5.920833,5.908611,24664800
2017-01-19,5.937500,6.003333,5.871667,5.905000,5.892811,29865600
2017-01-20,5.983333,6.029167,5.900000,5.943333,5.931065,28423200
2017-01-23,5.925000,5.983333,5.847500,5.956667,5.944371,27625200
2017-01-24,5.989167,6.106667,5.964167,6.080833,6.068280,25845600
2017-01-25,6.190833,6.267500,6.177500,6.258333,6.245414,28074000
2017-01-26,6.286667,6.321667,6.250833,6.284167,6.271194,25428000
2017-01-27,6.316667,6.335000,6.256667,6.314167,6.301133,16624800
2017-01-30,6.247500,6.250833,6.065000,6.170833,6.158095,37521600
2017-01-31,6.107500,6.136667,6.024167,6.136667,6.124000,29808000
2017-02-01,6.256667,6.293333,6.173333,6.253333,6.240425,36255600
2017-02-02,6.221667,6.295833,6.170000,6.237500,6.224624,28947600
2017-02-03,6.262500,6.312500,6.243333,6.291667,6.278679,24096000
2017-02-06,6.260833,6.318333,6.244167,6.315000,6.301964,20853600
2017-02-07,6.348333,6.424167,6.338333,6.380000,6.366830,23317200
2017-02-08,6.357500,6.440833,6.322500,6.415833,6.402589,18483600
2017-02-09,6.433333,6.527500,6.423333,6.482500,6.469119,25762800
2017-02-10,6.527500,6.575000,6.494167,6.546667,6.533153,23936400
2017-02-13,6.608333,6.685833,6.598333,6.661667,6.647915,21494400
2017-02-14,6.665833,6.726667,6.603333,6.724167,6.710286,31332000
2017-02-15,6.715833,6.853333,6.700000,6.840000,6.825881,36782400
2017-02-16,6.856667,6.897500,6.785000,6.834167,6.820059,31975200
2017-02-17,6.805833,6.925000,6.801667,6.920000,6.905715,25803600
2017-02-21,6.968333,7.040000,6.952500,7.030000,7.015488,33364800
2017-02-22,7.008333,7.048333,6.971667,7.030833,7.016319,21528000
2017-02-23,7.061667,7.062500,6.868333,6.955000,6.940643,31338000
2017-02-24,6.855000,6.992500,6.850000,6.992500,6.978065,25365600
2017-02-27,6.955833,7.017500,6.917500,7.013333,6.998856,26218800
2017-02-28,7.014167,7.020833,6.895000,6.958333,6.943969,20952000
2017-03-01,7.080000,7.216667,7.046667,7.183333,7.168504,31627200
2017-03-02,7.180000,7.180000,7.046667,7.070000,7.055406,21459600
2017-03-03,7.053333,7.116667,6.999167,7.106667,7.091997,17323200
2017-03-06,7.030000,7.096667,6.975833,7.057500,7.042932,19387200
2017-03-07,7.012500,7.116667,6.989167,7.022500,7.008004,17714400
2017-03-08,7.040000,7.126667,7.015833,7.058333,7.043763,19326000
2017-03-09,7.056667,7.105833,6.964167,7.080000,7.065384,22086000
2017-03-10,7.170833,7.196667,7.075833,7.157500,7.142725,25728000
2017-03-13,7.150833,7.205833,7.144167,7.199167,7.184306,16941600
2017-03-14,7.150000,7.160833,7.060000,7.145833,7.131082,26510400
2017-03-15,7.195000,7.326667,7.120833,7.270833,7.255824,31906800
