Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,7.410000,7.450000,7.100000,7.380000,7.380000,210100
2020-01-03,7.260000,7.370000,7.170000,7.180000,7.180000,98000
2020-01-06,7.160000,7.350000,7.120000,7.300000,7.300000,138900
2020-01-07,7.300000,7.360000,7.220000,7.350000,7.350000,97700
2020-01-08,7.340000,7.630000,7.290000,7.560000,7.560000,228100
2020-01-09,7.730000,7.970000,7.670000,7.770000,7.770000,648700
2020-01-10,7.830000,7.950000,7.750000,7.870000,7.870000,204300
2020-01-13,7.950000,8.060000,7.890000,8.030000,8.030000,269000
2020-01-14,8.050000,8.070000,7.930000,8.040000,8.040000,100600
2020-01-15,8.060000,8.340000,8.050000,8.320000,8.320000,279900
2020-01-16,8.360000,8.500000,8.290000,8.500000,8.500000,249900
2020-01-17,8.510000,8.650000,8.390000,8.450000,8.450000,188400
2020-01-21,8.460000,8.460000,8.160000,8.270000,8.270000,248000
2020-01-22,8.270000,8.410000,8.230000,8.330000,8.330000,113300
2020-01-23,8.350000,8.530000,8.210000,8.490000,8.490000,145400
2020-01-24,8.550000,8.640000,8.330000,8.440000,8.440000,183700
2020-01-27,8.200000,8.430000,8.100000,8.280000,8.280000,175100
2020-01-28,8.310000,8.560000,8.270000,8.560000,8.560000,159600
2020-01-29,8.720000,8.740000,8.420000,8.500000,8.500000,258100
2020-01-30,8.450000,8.460000,8.210000,8.460000,8.460000,216100
2020-01-31,8.420000,8.440000,7.940000,8.190000,8.190000,638400
2020-02-03,8.290000,8.330000,8.040000,8.250000,8.250000,164300
2020-02-04,8.330000,8.480000,8.140000,8.210000,8.210000,114700
2020-02-05,8.270000,8.290000,8.070000,8.200000,8.200000,120700
2020-02-06,8.220000,8.220000,8.110000,8.190000,8.190000,81000
2020-02-07,8.240000,8.510000,8.190000,8.370000,8.370000,315700
2020-02-10,8.480000,8.510000,8.320000,8.500000,8.500000,221100
2020-02-11,8.500000,8.610000,8.450000,8.580000,8.580000,203100
2020-02-12,8.620000,9.320000,8.560000,9.040000,9.040000,392700
2020-02-13,9.100000,9.100000,8.890000,8.950000,8.950000,164700
2020-02-14,9.000000,9.060000,8.860000,8.970000,8.970000,137800
2020-02-18,8.970000,9.060000,8.880000,8.910000,8.910000,137700
2020-02-19,8.930000,8.930000,8.630000,8.910000,8.910000,221400
2020-02-20,8.930000,9.090000,8.840000,9.070000,9.070000,222400
2020-02-21,9.060000,9.270000,8.840000,9.230000,9.230000,183400
2020-02-24,9.000000,9.030000,8.500000,8.610000,8.610000,436700
2020-02-25,8.700000,8.730000,7.150000,7.450000,7.450000,772800
2020-02-26,7.450000,7.790000,7.420000,7.590000,7.590000,217100
2020-02-27,7.420000,7.540000,6.920000,7.070000,7.070000,398900
2020-02-28,6.800000,6.980000,6.430000,6.700000,6.700000,539600
2020-03-02,6.740000,7.160000,6.710000,7.130000,7.130000,319400
2020-03-03,7.430000,7.670000,6.750000,6.930000,6.930000,522600
2020-03-04,7.110000,7.200000,6.920000,7.190000,7.190000,202500
2020-03-05,6.950000,7.190000,6.750000,6.890000,6.890000,233700
2020-03-06,6.750000,7.580000,6.150000,7.500000,7.500000,768900
2020-03-09,6.890000,7.080000,6.500000,6.720000,6.720000,519500
2020-03-10,7.070000,7.140000,6.460000,6.600000,6.600000,312900
2020-03-11,6.480000,6.570000,5.850000,5.990000,5.990000,406000
2020-03-12,5.500000,5.800000,5.140000,5.210000,5.210000,424600
2020-03-13,5.470000,5.630000,5.000000,5.220000,5.220000,474800
2020-03-16,4.660000,5.180000,4.500000,4.910000,4.910000,442700
2020-03-17,5.010000,5.670000,5.010000,5.530000,5.530000,448400
2020-03-18,5.180000,5.340000,4.500000,4.730000,4.730000,300300
2020-03-19,4.740000,5.230000,4.500000,4.870000,4.870000,364400
2020-03-20,5.000000,5.340000,4.760000,4.800000,4.800000,411000
2020-03-23,4.710000,5.110000,4.530000,5.090000,5.090000,295000
2020-03-24,5.380000,5.620000,5.240000,5.430000,5.430000,312200
2020-03-25,5.510000,6.030000,5.510000,5.820000,5.820000,397400
2020-03-26,5.880000,6.420000,5.860000,6.170000,6.170000,275100
2020-03-27,6.000000,6.000000,5.690000,5.830000,5.830000,298600
2020-03-30,5.950000,6.260000,5.560000,6.230000,6.230000,310000
2020-03-31,6.210000,6.250000,6.050000,6.150000,6.150000,347700
2020-04-01,5.830000,6.060000,5.580000,5.850000,5.850000,171700
2020-04-02,5.850000,6.080000,5.710000,5.830000,5.830000,106600
2020-04-03,5.750000,5.870000,5.490000,5.720000,5.720000,152700
2020-04-06,5.960000,6.110000,5.770000,6.070000,6.070000,172900
2020-04-07,6.320000,6.540000,5.990000,6.050000,6.050000,247200
2020-04-08,6.070000,6.500000,6.060000,6.310000,6.310000,158500
2020-04-09,6.480000,6.680000,6.380000,6.650000,6.650000,222900
2020-04-13,6.680000,6.690000,6.470000,6.560000,6.560000,167500
2020-04-14,6.680000,7.000000,6.580000,6.830000,6.830000,197800
2020-04-15,6.680000,7.130000,6.510000,7.110000,7.110000,304400
2020-04-16,7.160000,7.500000,6.950000,7.340000,7.340000,234700
2020-04-17,7.470000,7.800000,7.100000,7.270000,7.270000,277900
2020-04-20,7.240000,7.650000,7.020000,7.300000,7.300000,413800
2020-04-21,7.210000,7.210000,6.550000,6.720000,6.720000,427100
2020-04-22,7.010000,7.030000,6.550000,6.830000,6.830000,145400
2020-04-23,6.850000,7.070000,6.810000,6.910000,6.910000,109900
2020-04-24,6.940000,7.180000,6.860000,7.150000,7.150000,107300
2020-04-27,7.260000,7.390000,7.140000,7.210000,7.210000,110600
2020-04-28,7.330000,7.400000,7.200000,7.400000,7.400000,194700
2020-04-29,7.490000,7.880000,7.440000,7.770000,7.770000,311900
2020-04-30,7.740000,7.780000,7.500000,7.630000,7.630000,175100
2020-05-01,7.410000,7.480000,7.190000,7.240000,7.240000,143000
2020-05-04,7.230000,7.600000,7.090000,7.510000,7.510000,168800
2020-05-05,7.680000,7.770000,7.500000,7.620000,7.620000,195600
2020-05-06,7.670000,7.700000,7.510000,7.600000,7.600000,156800
2020-05-07,7.670000,7.760000,7.430000,7.490000,7.490000,195200
2020-05-08,7.390000,7.990000,7.000000,7.820000,7.820000,860200
2020-05-11,7.780000,7.780000,7.040000,7.040000,7.040000,586000
2020-05-12,7.050000,7.270000,7.000000,7.050000,7.050000,408400
2020-05-13,7.050000,7.180000,6.160000,6.200000,6.200000,552400
2020-05-14,6.180000,6.180000,5.750000,5.780000,5.780000,481300
2020-05-15,5.760000,5.830000,5.320000,5.370000,5.370000,615300
2020-05-18,5.500000,5.940000,5.500000,5.910000,5.910000,575300
2020-05-19,5.990000,6.340000,5.800000,6.250000,6.250000,356500
2020-05-20,6.390000,6.490000,6.020000,6.100000,6.100000,234700
2020-05-21,6.100000,6.190000,5.920000,6.000000,6.000000,183700
2020-05-22,6.010000,6.130000,5.880000,6.090000,6.090000,298700
2020-05-26,6.150000,6.200000,5.880000,6.150000,6.150000,264500
2020-05-27,6.170000,6.300000,5.920000,6.200000,6.200000,198100
2020-05-28,6.200000,6.290000,6.070000,6.090000,6.090000,145700
2020-05-29,6.030000,6.110000,5.870000,6.100000,6.100000,146800
2020-06-01,6.050000,6.440000,6.000000,6.290000,6.290000,254000
2020-06-02,6.290000,6.360000,6.160000,6.280000,6.280000,155500
2020-06-03,6.280000,6.580000,6.240000,6.530000,6.530000,208200
2020-06-04,6.500000,6.540000,6.300000,6.490000,6.490000,192500
2020-06-05,6.520000,6.740000,6.520000,6.630000,6.630000,185000
2020-06-08,6.700000,6.750000,6.520000,6.670000,6.670000,255300
2020-06-09,6.590000,6.710000,6.330000,6.350000,6.350000,213400
2020-06-10,6.390000,6.490000,6.340000,6.430000,6.430000,276700
2020-06-11,6.270000,6.270000,5.810000,5.830000,5.830000,286400
2020-06-12,6.060000,6.200000,5.950000,6.060000,6.060000,216500
2020-06-15,5.930000,6.330000,5.930000,6.250000,6.250000,283000
2020-06-16,6.460000,6.700000,6.220000,6.310000,6.310000,234600
2020-06-17,6.340000,6.410000,6.060000,6.150000,6.150000,168100
2020-06-18,6.110000,6.310000,5.850000,5.990000,5.990000,462500
2020-06-19,6.020000,6.420000,5.980000,6.010000,6.010000,386000
2020-06-22,6.010000,6.270000,6.010000,6.160000,6.160000,327400
2020-06-23,6.210000,6.350000,6.120000,6.240000,6.240000,371000
2020-06-24,6.230000,6.400000,6.030000,6.150000,6.150000,362400
2020-06-25,6.170000,6.370000,6.060000,6.150000,6.150000,381000
2020-06-26,6.120000,6.120000,5.630000,5.710000,5.710000,3610900
2020-06-29,5.770000,6.000000,5.610000,5.850000,5.850000,355400
2020-06-30,5.830000,5.870000,5.680000,5.840000,5.840000,642200
2020-07-01,5.850000,5.870000,5.600000,5.750000,5.750000,440600
2020-07-02,5.790000,6.070000,5.760000,5.860000,5.860000,338000
2020-07-06,5.880000,5.950000,5.450000,5.480000,5.480000,582900
2020-07-07,5.460000,5.690000,5.380000,5.390000,5.390000,223300
2020-07-08,5.390000,5.450000,5.230000,5.320000,5.320000,296700
2020-07-09,5.320000,5.360000,5.100000,5.170000,5.170000,442200
2020-07-10,5.170000,5.260000,5.080000,5.140000,5.140000,302900
2020-07-13,5.210000,5.260000,5.000000,5.050000,5.050000,511600
2020-07-14,5.020000,5.250000,4.930000,5.230000,5.230000,271900
2020-07-15,5.300000,5.430000,5.240000,5.340000,5.340000,215000
2020-07-16,5.310000,5.380000,5.160000,5.300000,5.300000,160800
2020-07-17,5.320000,5.600000,5.260000,5.560000,5.560000,265200
2020-07-20,5.490000,5.630000,5.450000,5.610000,5.610000,298500
2020-07-21,5.730000,5.760000,5.600000,5.640000,5.640000,237000
2020-07-22,5.630000,5.690000,5.560000,5.650000,5.650000,154200
2020-07-23,5.610000,5.760000,5.600000,5.680000,5.680000,137100
2020-07-24,5.690000,5.710000,5.520000,5.570000,5.570000,120300
2020-07-27,5.600000,5.760000,5.600000,5.710000,5.710000,135600
2020-07-28,5.540000,5.710000,5.520000,5.530000,5.530000,143500
2020-07-29,5.540000,5.810000,5.540000,5.780000,5.780000,224900
2020-07-30,5.690000,5.810000,5.610000,5.770000,5.770000,139600
2020-07-31,5.780000,5.780000,5.550000,5.670000,5.670000,178800
2020-08-03,5.700000,5.860000,5.570000,5.850000,5.850000,204100
2020-08-04,5.810000,5.920000,5.770000,5.830000,5.830000,119700
2020-08-05,5.860000,5.900000,5.670000,5.720000,5.720000,118000
2020-08-06,5.750000,5.940000,5.640000,5.890000,5.890000,174500
2020-08-07,6.380000,6.930000,6.220000,6.750000,6.750000,679000
2020-08-10,6.720000,6.740000,6.100000,6.130000,6.130000,360300
2020-08-11,6.190000,6.510000,6.090000,6.170000,6.170000,269000
2020-08-12,6.240000,6.270000,5.950000,6.010000,6.010000,236600
2020-08-13,6.000000,6.060000,5.910000,6.000000,6.000000,164100
2020-08-14,5.990000,6.000000,5.880000,5.960000,5.960000,131400
2020-08-17,6.050000,6.330000,6.040000,6.290000,6.290000,265200
2020-08-18,6.300000,6.430000,6.240000,6.300000,6.300000,263000
2020-08-19,6.290000,6.360000,6.220000,6.300000,6.300000,123500
2020-08-20,6.220000,6.330000,5.980000,6.070000,6.070000,181900
2020-08-21,6.030000,6.070000,5.920000,6.050000,6.050000,188300
2020-08-24,6.110000,6.270000,6.000000,6.080000,6.080000,182400
2020-08-25,6.080000,6.090000,6.000000,6.060000,6.060000,142400
2020-08-26,6.030000,6.280000,6.010000,6.250000,6.250000,351800
2020-08-27,6.230000,6.450000,6.080000,6.120000,6.120000,204200
